duration_days,radiation,shielding,exercise,dna_damage,mitochondrial_stress,immune_dysfunction,inflammation,senescence
586,high,low,medium,100.0,96.3,63.2,60.2,77.8
254,medium,high,low,30.5,59.9,43.3,42.7,26.9
544,high,high,high,80.3,76.8,45.2,42.6,63.7
352,medium,high,high,42.2,45.5,25.3,23.6,36.3
148,medium,high,low,17.8,48.5,35.7,36.4,16.7
323,low,high,low,23.8,56.9,42.3,39.4,24.5
153,high,medium,medium,43.4,49.5,32.0,34.2,31.2
546,low,medium,low,60.5,81.0,58.3,52.8,50.9
630,medium,medium,low,85.6,100.0,70.4,65.3,68.0
86,medium,high,high,10.3,16.8,6.2,7.7,10.8
199,high,low,medium,58.9,54.5,35.3,36.9,40.6
172,high,high,medium,35.6,51.6,33.4,35.3,28.0
216,high,low,high,60.9,41.3,21.6,23.0,42.2
628,high,low,high,100.0,85.8,51.2,47.7,81.8
231,high,high,low,42.7,67.9,47.6,48.9,33.7
100,high,low,medium,47.0,43.8,28.2,31.0,31.1
711,medium,medium,high,95.3,84.3,51.2,45.2,75.8
623,high,low,high,100.0,85.3,50.9,47.4,81.3
562,high,low,low,100.0,100.0,71.5,68.7,75.5
545,medium,low,high,85.4,66.4,39.2,35.2,64.8
500,low,high,high,45.0,51.0,30.0,25.0,41.5
520,low,low,medium,67.4,68.2,46.4,41.2,53.4
310,low,low,low,42.2,55.5,41.3,38.6,33.3
419,low,medium,high,45.3,42.3,24.2,20.1,38.7
704,medium,low,high,100.0,83.5,50.7,44.7,80.1
159,medium,low,high,39.1,24.7,11.4,12.0,27.8
287,high,medium,high,59.4,49.0,26.7,27.2,44.1
81,low,low,medium,14.7,20.7,14.8,14.9,11.3
104,low,high,high,0.0,8.2,1.5,1.2,3.5
514,low,high,medium,46.7,67.5,46.0,40.8,42.8
122,low,low,medium,19.6,25.2,17.8,17.3,15.2
46,medium,low,medium,25.5,27.5,18.3,20.3,16.9
692,medium,low,low,100.0,100.0,74.8,69.0,78.9
460,medium,low,high,75.2,57.2,33.1,30.1,56.7
435,high,medium,medium,77.2,80.0,52.3,51.1,58.3
351,high,low,medium,77.1,70.9,46.3,46.1,55.2
543,medium,high,low,65.2,91.1,64.1,60.1,54.6
525,low,low,high,68.0,53.7,31.8,26.5,53.9
380,high,low,medium,80.6,74.0,48.4,47.8,58.0
100,medium,low,medium,32.0,33.3,22.2,23.5,22.1
556,medium,low,medium,86.7,82.5,55.0,50.9,65.9
508,high,high,medium,76.0,87.9,57.6,55.5,60.3
408,low,low,low,54.0,66.1,48.4,44.5,42.7
437,low,low,high,57.4,44.2,25.5,21.2,45.5
438,medium,high,medium,52.6,69.8,46.5,43.8,44.5
575,medium,medium,low,79.0,94.6,66.4,62.0,62.7
624,high,medium,medium,99.9,100.0,65.9,62.4,76.4
78,high,medium,high,34.4,26.4,11.6,14.7,24.0
463,high,medium,medium,80.6,83.0,54.3,52.8,60.9
600,low,medium,medium,67.0,76.8,52.2,46.0,56.1
381,high,high,low,60.7,84.1,58.4,57.9,48.1
412,medium,high,high,49.4,52.0,29.7,27.2,42.1
134,medium,high,high,16.1,22.0,9.6,10.5,15.4
111,low,high,low,0.0,34.0,27.0,26.7,4.2
701,high,medium,medium,100.0,100.0,71.5,67.1,83.8
237,low,medium,low,23.4,47.6,36.1,34.2,21.3
674,low,high,high,65.9,69.8,42.5,35.4,58.2
106,high,high,medium,27.7,44.4,28.6,31.4,21.7
654,low,low,low,83.5,92.6,66.1,59.2,66.3
315,medium,high,medium,37.8,56.5,37.7,36.4,32.7
133,medium,low,low,36.0,46.9,34.6,35.5,25.3
694,high,high,low,98.3,100.0,81.0,76.6,78.1
598,high,low,low,100.0,100.0,74.1,70.9,78.9
557,high,medium,medium,91.8,93.2,61.1,58.4,70.0
416,high,medium,high,74.9,62.9,36.0,35.0,56.4
187,low,low,low,27.4,42.2,32.5,31.2,21.5
239,low,low,low,33.7,47.8,36.2,34.3,26.4
78,high,low,low,44.4,51.4,36.6,39.7,29.0
207,medium,low,high,44.8,29.9,14.9,14.9,32.4
331,low,low,high,44.7,32.7,17.8,14.9,35.3
533,medium,medium,low,74.0,90.1,63.4,59.5,58.7
645,high,low,low,100.0,100.0,77.4,73.7,83.4
557,low,low,medium,71.8,72.2,49.1,43.4,57.0
105,low,low,low,17.6,33.3,26.6,26.3,13.6
341,low,low,low,45.9,58.8,43.6,40.5,36.2
353,high,high,medium,57.4,71.1,46.4,46.2,45.4
431,medium,medium,high,61.7,54.0,31.0,28.4,48.9
370,low,low,high,49.4,37.0,20.6,17.2,39.0
618,high,medium,medium,99.2,99.7,65.5,62.1,75.8
334,medium,medium,medium,50.1,58.6,39.0,37.5,39.6
712,medium,low,high,100.0,84.4,51.3,45.2,80.9
141,low,low,medium,21.9,27.2,19.2,18.5,17.0
87,high,medium,high,35.4,27.4,12.3,15.2,24.9
535,medium,medium,medium,74.2,80.3,53.5,49.6,58.9
393,medium,high,low,47.2,74.9,53.3,51.1,40.2
727,low,low,medium,92.2,90.5,61.3,53.6,73.3
414,medium,high,medium,49.7,67.2,44.8,42.3,42.2
556,medium,high,high,66.7,67.5,40.0,35.9,55.9
674,high,low,low,100.0,100.0,79.5,75.4,86.2
121,medium,high,medium,14.5,35.6,23.7,24.8,14.1
250,medium,high,medium,30.0,49.5,33.0,32.5,26.5
463,medium,medium,medium,65.6,72.5,48.3,45.3,51.9
113,medium,medium,low,23.6,44.7,33.1,34.3,18.3
350,high,medium,high,67.0,55.8,31.2,31.0,50.1
409,high,high,high,64.1,62.2,35.4,34.5,50.8
269,low,high,low,17.3,51.1,38.4,36.1,19.3
111,low,medium,medium,8.3,24.0,17.0,16.7,9.2
617,low,high,high,59.0,63.6,38.4,32.0,52.7
199,medium,low,high,43.9,29.0,14.3,14.4,31.6
471,high,medium,low,81.5,93.9,64.9,63.3,61.7
617,medium,high,high,74.0,74.1,44.4,39.5,61.7
33,high,low,medium,39.0,36.6,23.4,27.0,24.7
637,low,high,medium,61.4,80.8,54.9,48.2,54.7
437,low,high,medium,37.4,59.2,40.5,36.2,35.5
390,high,high,high,61.8,60.1,34.1,33.4,48.9
357,high,low,medium,77.8,71.6,46.7,46.4,55.8
88,medium,high,high,10.6,17.0,6.3,7.8,10.9
254,low,medium,low,25.5,49.4,37.3,35.2,22.9
597,medium,high,high,71.6,72.0,43.0,38.3,59.8
214,high,high,medium,40.7,56.1,36.4,37.8,32.0
447,medium,medium,low,63.6,80.8,57.2,54.3,50.4
289,high,low,medium,69.7,64.2,41.8,42.3,49.2
443,medium,high,medium,53.2,70.3,46.9,44.1,45.0
312,high,medium,medium,62.4,66.7,43.5,43.7,46.5
670,high,high,medium,95.4,100.0,69.2,65.2,75.8
670,high,high,medium,95.4,100.0,69.2,65.2,75.8
602,medium,medium,medium,82.2,87.5,58.3,53.6,65.3
123,medium,low,medium,34.8,35.8,23.9,24.9,24.3
55,medium,low,medium,26.6,28.4,19.0,20.8,17.8
303,medium,high,medium,36.4,55.2,36.8,35.7,31.6
371,low,medium,low,39.5,62.1,45.7,42.3,34.1
642,high,high,medium,92.0,100.0,67.2,63.5,73.1
34,medium,high,high,4.1,11.2,2.4,4.5,5.8
463,low,low,low,60.6,72.0,52.3,47.8,47.9
506,high,low,medium,95.7,87.6,57.4,55.4,70.1
113,high,low,high,48.6,30.2,14.1,16.8,32.3
477,low,low,high,62.2,48.5,28.3,23.6,49.3
215,medium,high,medium,25.8,45.7,30.5,30.4,23.1
58,medium,high,high,7.0,13.8,4.2,6.0,8.1
250,high,high,low,45.0,70.0,49.0,50.0,35.5
575,low,medium,high,64.0,59.1,35.4,29.5,53.7
306,medium,medium,medium,46.7,55.5,37.0,35.9,36.9
439,high,high,low,67.7,90.4,62.6,61.3,53.6
258,high,high,low,46.0,70.9,49.6,50.5,36.3
656,low,high,medium,63.7,82.8,56.2,49.4,56.5
720,high,medium,high,100.0,95.8,57.8,53.2,85.6
411,medium,medium,medium,59.3,66.9,44.6,42.2,47.0
615,medium,high,low,73.8,98.9,69.3,64.4,61.5
203,low,low,medium,29.4,33.9,23.6,22.2,23.0
522,low,high,medium,47.6,68.4,46.6,41.3,43.6
584,high,high,low,85.1,100.0,73.0,70.0,67.6
257,medium,medium,low,40.8,60.3,43.5,42.9,32.2
383,high,medium,low,71.0,84.4,58.6,58.0,53.3
124,medium,high,high,14.9,20.9,8.9,9.9,14.4
343,high,low,medium,76.2,70.0,45.7,45.6,54.4
490,low,low,low,63.8,74.9,54.3,49.4,50.5
482,medium,low,medium,77.8,74.6,49.7,46.4,58.8
477,medium,medium,high,67.2,59.0,34.3,31.1,53.3
636,medium,high,high,76.3,76.2,45.8,40.7,63.6
292,low,medium,high,30.0,28.5,15.0,12.5,26.5
88,low,medium,low,5.6,31.5,25.3,25.3,6.9
694,low,low,low,88.3,97.0,69.0,61.6,70.1
621,low,medium,medium,69.5,79.1,53.7,47.3,58.1
694,low,high,high,68.3,72.0,44.0,36.6,60.1
452,low,medium,medium,49.2,60.8,41.5,37.1,41.9
326,high,medium,high,64.1,53.2,29.5,29.6,47.8
649,high,high,high,92.9,88.1,52.7,48.9,73.8
629,high,low,low,100.0,100.0,76.3,72.7,81.9
204,medium,low,low,44.5,54.5,39.7,39.7,32.1
168,high,high,medium,35.2,51.1,33.1,35.1,27.6
116,low,medium,medium,8.9,24.5,17.4,17.0,9.6
634,high,high,medium,91.1,100.0,66.6,63.0,72.4
650,high,low,high,100.0,88.2,52.8,49.0,83.9
423,low,low,medium,55.8,57.7,39.5,35.4,44.1
45,medium,high,medium,5.4,27.4,18.2,20.2,6.8
292,low,medium,low,30.0,53.5,40.0,37.5,26.5
522,low,medium,high,57.6,53.4,31.6,26.3,48.6
417,medium,medium,low,60.0,77.5,55.0,52.5,47.5
157,low,low,high,23.8,14.0,5.3,4.4,18.6
494,high,medium,high,84.3,71.4,41.6,39.6,63.9
724,medium,medium,high,96.9,85.7,52.1,45.9,77.0
636,high,medium,high,100.0,86.7,51.8,48.2,77.6
568,high,medium,high,93.2,79.3,46.9,44.1,71.0
99,high,high,high,26.9,28.7,13.1,15.9,21.0
244,high,medium,medium,54.3,59.4,38.6,39.6,39.9
219,medium,medium,high,36.3,31.2,15.8,15.6,28.5
59,high,high,medium,22.1,39.4,25.2,28.5,17.2
524,low,medium,high,57.9,53.6,31.7,26.4,48.8
163,low,high,medium,4.6,29.6,20.7,19.8,9.1
526,medium,medium,low,73.1,89.3,62.9,59.1,58.0
34,medium,medium,low,14.1,36.2,27.4,29.5,10.8
41,low,low,low,9.9,26.4,22.0,22.5,7.4
185,medium,low,high,42.2,27.5,13.3,13.6,30.3
711,high,medium,medium,100.0,100.0,72.2,67.7,84.8
401,medium,low,medium,68.1,65.8,43.9,41.6,51.0
235,low,low,high,33.2,22.4,10.9,9.1,26.1
542,high,low,high,100.0,76.5,45.0,42.5,73.5
673,low,low,medium,85.8,84.7,57.5,50.4,68.1
162,medium,low,medium,39.4,40.0,26.7,27.2,28.1
351,high,medium,medium,67.1,70.9,46.3,46.1,50.2
598,low,medium,high,66.8,61.6,37.1,30.9,55.9
54,medium,low,medium,26.5,28.3,18.9,20.7,17.7
168,medium,medium,medium,30.2,40.6,27.1,27.6,23.6
583,high,low,high,100.0,81.0,48.0,45.0,77.5
541,medium,low,high,84.9,65.9,39.0,35.0,64.4
226,medium,high,medium,27.1,46.9,31.3,31.1,24.2
41,high,medium,low,29.9,47.4,34.0,37.5,20.4
529,high,medium,medium,88.5,90.1,59.1,56.7,67.3
195,medium,medium,medium,33.4,43.6,29.0,29.2,26.2
399,medium,medium,low,57.9,75.6,53.7,51.4,45.8
549,low,high,medium,50.9,71.3,48.5,42.9,46.2
438,high,high,high,67.6,65.3,37.5,36.3,53.5
713,medium,high,high,85.6,84.5,51.3,45.3,70.9
655,high,low,high,100.0,88.7,53.2,49.3,84.4
291,high,medium,low,59.9,74.4,52.0,52.5,44.4
185,medium,medium,low,32.2,52.5,38.3,38.6,25.3
312,high,medium,low,62.4,76.7,53.5,53.7,46.5
391,medium,high,high,46.9,49.7,28.2,26.0,40.0
559,low,medium,low,62.1,82.4,59.2,53.5,52.2
62,low,medium,low,2.4,28.7,23.5,23.7,4.5
236,low,low,medium,33.3,37.5,26.0,24.2,26.2
368,high,medium,low,69.2,82.7,57.5,57.1,51.8
313,low,medium,medium,32.6,45.8,31.5,28.8,28.5
352,low,low,high,47.2,35.0,19.3,16.1,37.3
417,low,medium,medium,45.0,57.0,39.0,35.0,38.5
413,low,low,low,54.6,66.6,48.7,44.8,43.1
90,medium,high,low,10.8,42.2,31.5,32.9,11.1
704,high,low,high,100.0,94.0,56.7,52.2,89.1
358,low,low,medium,48.0,50.7,34.8,31.5,37.9
467,medium,high,medium,56.0,72.9,48.6,45.5,47.3
338,medium,medium,high,50.6,44.0,24.3,22.8,39.9
322,medium,low,high,58.6,42.3,23.2,21.8,43.4
324,medium,medium,medium,48.9,57.5,38.3,36.9,38.6
449,high,low,low,88.9,91.5,63.3,61.9,64.6
518,medium,medium,high,72.2,63.4,37.3,33.6,57.2
620,high,high,medium,89.4,100.0,65.6,62.2,71.0
279,high,medium,medium,58.5,63.1,41.1,41.7,43.3
581,medium,low,high,89.7,70.2,41.8,37.4,68.3
400,high,high,high,63.0,61.2,34.8,34.0,49.9
647,low,medium,medium,72.6,81.9,55.6,48.8,60.6
246,low,low,high,34.5,23.6,11.7,9.8,27.1
621,low,medium,medium,69.5,79.1,53.7,47.3,58.1
295,medium,low,medium,55.4,54.4,36.2,35.2,40.8
444,high,low,high,88.3,66.0,38.0,36.6,64.1
56,high,high,low,21.7,49.0,35.0,38.4,16.9
578,medium,low,high,89.4,69.9,41.6,37.2,68.0
537,low,high,high,49.4,55.0,32.7,27.2,45.1
92,high,low,low,46.0,52.9,37.6,40.5,30.3
561,medium,low,high,87.3,68.1,40.4,36.2,66.4
720,low,medium,medium,81.4,89.8,60.8,53.2,67.6
165,low,low,low,24.8,39.8,30.9,29.9,19.3
424,low,low,low,55.9,67.8,49.5,45.4,44.2
395,high,high,high,62.4,60.7,34.4,33.7,49.4
377,medium,high,medium,45.2,63.2,42.1,40.1,38.7
157,low,high,low,3.8,39.0,30.3,29.4,8.6
672,medium,medium,high,90.6,80.1,48.4,42.8,72.0
455,high,low,medium,89.6,82.1,53.8,52.3,65.2
422,high,high,low,65.6,88.6,61.4,60.3,52.0
441,medium,medium,high,62.9,55.1,31.8,29.0,49.8
112,medium,low,high,33.4,19.6,8.1,9.2,23.3
278,high,medium,medium,58.4,63.0,41.0,41.7,43.2
605,medium,medium,medium,82.6,87.8,58.6,53.8,65.6
385,high,high,low,61.2,84.6,58.7,58.1,48.5
348,medium,high,low,41.8,70.1,50.1,48.4,35.9
628,low,low,low,80.4,89.8,64.2,57.7,63.8
322,high,medium,medium,63.6,67.8,44.2,44.3,47.4
345,low,high,high,26.4,34.3,18.8,15.7,26.6
717,low,low,medium,91.0,89.4,60.6,53.0,72.3
453,low,high,low,39.4,70.9,51.6,47.2,37.0
108,medium,medium,medium,23.0,34.2,22.8,24.0,17.9
647,medium,medium,high,87.6,77.4,46.6,41.3,69.6
105,medium,high,medium,12.6,33.8,22.6,23.8,12.6
439,high,low,medium,87.7,80.4,52.6,51.3,63.6
245,medium,high,medium,29.4,49.0,32.6,32.2,26.0
696,high,low,high,100.0,93.2,56.1,51.8,88.3
709,low,medium,low,80.1,98.6,70.0,62.5,66.6
414,medium,low,low,69.7,77.2,54.8,52.3,52.2
53,high,low,low,41.4,48.7,34.8,38.2,26.6
148,low,high,medium,2.8,28.0,19.7,18.9,7.7
349,medium,high,medium,41.9,60.2,40.1,38.4,36.0
401,high,high,low,63.1,86.3,59.9,59.1,50.0
439,high,low,medium,87.7,80.4,52.6,51.3,63.6
150,low,high,high,3.0,13.2,4.8,4.0,7.9
367,high,low,low,79.0,82.6,57.4,57.0,56.7
42,medium,high,low,5.0,37.0,28.0,30.0,6.5
142,medium,medium,high,27.0,22.8,10.2,11.0,21.1
479,medium,low,high,77.5,59.2,34.5,31.2,58.5
273,low,high,low,17.8,51.5,38.7,36.4,19.7
62,low,medium,low,2.4,28.7,23.5,23.7,4.5
563,medium,low,high,87.6,68.3,40.5,36.3,66.5
499,low,high,medium,44.9,65.9,44.9,39.9,41.4
483,medium,high,low,58.0,84.7,59.8,56.5,48.9
194,medium,medium,medium,33.3,43.5,29.0,29.1,26.1
336,high,medium,medium,65.3,69.3,45.2,45.2,48.8
627,medium,medium,low,85.2,100.0,70.1,65.1,67.7
626,high,high,medium,90.1,100.0,66.1,62.6,71.6
634,medium,low,low,96.1,100.0,70.6,65.5,73.4
483,low,medium,medium,53.0,64.2,43.8,39.0,44.9
453,medium,low,high,74.4,56.4,32.6,29.7,56.0
231,medium,medium,low,37.7,57.4,41.6,41.4,29.7
145,high,low,low,52.4,58.7,41.4,43.7,35.4
496,medium,low,medium,79.5,76.1,50.7,47.3,60.1
246,high,medium,low,54.5,69.6,48.7,49.8,40.1
244,high,medium,medium,54.3,59.4,38.6,39.6,39.9
125,low,medium,medium,10.0,25.5,18.0,17.5,10.5
268,high,high,low,47.2,71.9,50.3,51.1,37.2
43,medium,high,high,5.2,12.1,3.1,5.1,6.6
445,medium,high,high,53.4,55.6,32.0,29.2,45.2
244,high,low,medium,64.3,59.4,38.6,39.6,44.9
720,medium,medium,low,96.4,100.0,76.8,70.7,76.6
192,low,high,high,8.0,17.7,7.8,6.5,11.9
523,low,low,low,67.8,78.5,56.7,51.4,53.7
53,low,medium,low,1.4,27.7,22.8,23.2,3.6
277,medium,medium,medium,43.2,52.4,34.9,34.1,34.1
409,medium,low,high,69.1,51.7,29.4,27.0,51.8
103,high,low,medium,47.4,44.1,28.4,31.2,31.4
616,low,high,low,58.9,88.5,63.4,57.0,52.6
392,low,high,low,32.0,64.3,47.2,43.5,31.1
466,low,medium,medium,50.9,62.3,42.6,38.0,43.2
90,high,high,medium,25.8,42.7,27.5,30.4,20.1
38,medium,high,high,4.6,11.6,2.7,4.8,6.1
86,medium,high,low,10.3,41.8,31.2,32.7,10.8
363,high,high,low,58.6,82.2,57.1,56.8,46.3
643,high,high,medium,92.2,100.0,67.3,63.6,73.2
546,low,high,medium,50.5,71.0,48.3,42.8,45.9
673,low,medium,low,75.8,94.7,67.5,60.4,63.1
43,medium,medium,low,15.2,37.1,28.1,30.1,11.6
403,low,medium,medium,43.4,55.5,38.0,34.2,37.2
697,low,low,low,88.6,97.3,69.2,61.8,70.4
603,low,high,medium,57.4,77.1,52.4,46.2,51.4
189,high,low,high,57.7,38.4,19.6,21.3,39.6
563,high,medium,medium,92.6,93.8,61.5,58.8,70.5
154,high,medium,low,43.5,59.6,42.1,44.2,31.3
43,low,high,medium,0.0,16.6,12.1,12.6,0.0
575,medium,high,high,69.0,69.6,41.4,37.0,57.7
300,low,low,low,41.0,54.4,40.6,38.0,32.3
342,medium,medium,low,51.0,69.4,49.6,48.0,40.3
594,medium,low,high,91.3,71.7,42.8,38.1,69.5
378,medium,high,low,45.4,73.3,52.2,50.2,38.8
355,high,medium,medium,67.6,71.3,46.6,46.3,50.6
404,medium,high,low,48.5,76.1,54.1,51.7,41.3
483,low,medium,medium,53.0,64.2,43.8,39.0,44.9
81,medium,medium,high,19.7,16.2,5.8,7.4,15.3
358,medium,medium,high,53.0,46.2,25.8,24.0,41.9
615,low,low,low,78.8,88.4,63.3,56.9,62.5
585,low,medium,low,65.2,85.2,61.1,55.1,54.7
522,medium,low,low,82.6,88.9,62.6,58.8,62.6
483,medium,high,high,58.0,59.7,34.8,31.5,48.9
254,high,low,high,65.5,45.4,24.3,25.2,45.9
67,medium,high,high,8.0,14.7,4.8,6.5,8.9
645,medium,low,high,97.4,77.2,46.4,41.2,74.4
237,high,low,high,63.4,43.6,23.1,24.2,44.3
203,low,medium,medium,19.4,33.9,23.6,22.2,18.0
682,high,medium,low,100.0,100.0,80.1,75.9,82.0
430,high,low,high,86.6,64.4,37.0,35.8,62.8
386,medium,high,medium,46.3,64.2,42.8,40.7,39.6
696,medium,high,medium,83.5,97.7,65.1,59.3,69.3
314,low,high,high,22.7,30.9,16.6,13.8,23.6
38,high,medium,low,29.6,47.1,33.7,37.3,20.1
570,medium,low,high,88.4,69.1,41.0,36.7,67.2
280,medium,high,medium,33.6,52.7,35.2,34.3,29.4
498,low,low,low,64.8,75.8,54.9,49.9,51.3
225,medium,low,high,47.0,31.8,16.2,16.0,34.1
150,low,medium,medium,13.0,28.2,19.8,19.0,12.9
175,high,low,medium,56.0,51.9,33.6,35.5,38.3
275,high,medium,high,58.0,47.7,25.8,26.5,42.9
274,medium,high,low,32.9,62.1,44.7,43.9,28.8
321,high,medium,medium,63.5,67.7,44.1,44.3,47.3
102,high,high,high,27.2,29.0,13.3,16.1,21.3
392,low,high,high,32.0,39.3,22.2,18.5,31.1
512,high,high,medium,76.4,88.3,57.9,55.7,60.7
300,medium,high,high,36.0,39.9,21.6,20.5,31.3
585,high,low,high,100.0,81.2,48.1,45.1,77.7
581,high,high,low,84.7,100.0,72.8,69.9,67.3
149,low,high,high,2.9,13.1,4.7,3.9,7.8
444,medium,low,low,73.3,80.5,57.0,54.1,55.1
615,low,low,high,78.8,63.4,38.3,31.9,62.5
597,low,low,high,76.6,61.5,37.0,30.8,60.8
79,high,low,high,44.5,26.5,11.7,14.7,29.1
491,high,low,medium,93.9,86.0,56.4,54.5,68.6
205,medium,medium,medium,34.6,44.6,29.8,29.8,27.2
283,low,high,high,19.0,27.6,14.4,12.0,20.7
671,medium,medium,high,90.5,80.0,48.3,42.8,71.9
337,high,medium,high,65.4,54.4,30.3,30.2,48.9
297,medium,medium,medium,45.6,54.6,36.4,35.3,36.0
524,low,medium,low,57.9,78.6,56.7,51.4,48.8
69,medium,medium,high,18.3,15.0,5.0,6.6,14.1
421,low,low,medium,55.5,57.5,39.3,35.3,43.9
583,low,high,low,55.0,85.0,61.0,55.0,49.5
504,low,medium,low,55.5,76.4,55.3,50.2,46.9
687,medium,medium,medium,92.4,96.7,64.5,58.7,73.5
366,high,high,low,58.9,82.5,57.4,57.0,46.6
138,high,medium,low,41.6,57.9,40.9,43.3,29.7
102,high,high,medium,27.2,44.0,28.3,31.1,21.3
650,high,high,low,93.0,100.0,77.8,74.0,73.9
703,medium,high,high,84.4,83.4,50.6,44.7,70.0
153,high,medium,medium,43.4,49.5,32.0,34.2,31.2
201,high,low,medium,59.1,54.7,35.5,37.1,40.8
155,medium,low,high,38.6,24.2,11.2,11.8,27.4
88,medium,low,low,30.6,42.0,31.3,32.8,20.9
544,low,medium,medium,60.3,70.8,48.2,42.6,50.7
230,low,medium,high,22.6,21.8,10.6,8.8,20.6
148,medium,low,medium,37.8,38.5,25.7,26.4,26.7
629,medium,high,low,75.5,100.0,70.3,65.2,62.9
484,medium,medium,medium,68.1,74.8,49.8,46.5,54.0
99,low,low,medium,16.9,22.7,16.1,15.9,13.0
32,medium,low,high,23.8,11.0,2.3,4.4,15.6
133,medium,high,high,16.0,21.9,9.6,10.5,15.3
259,medium,medium,medium,41.1,50.5,33.6,33.0,32.4
372,high,medium,low,69.6,83.2,57.8,57.3,52.2
326,low,low,medium,44.1,47.2,32.5,29.6,34.8
509,high,high,low,76.1,98.0,67.6,65.5,60.4
725,low,medium,high,82.0,75.3,46.2,38.5,68.1
293,medium,medium,high,45.2,39.1,21.1,20.1,35.6
184,medium,medium,low,32.1,52.4,38.2,38.5,25.2
146,low,medium,low,12.5,37.8,29.5,28.8,12.5
533,high,medium,low,89.0,100.0,69.4,67.0,67.7
430,medium,medium,high,61.6,53.9,31.0,28.3,48.8
46,high,medium,low,30.5,48.0,34.3,37.8,20.9
453,medium,high,medium,54.4,71.4,47.6,44.7,46.0
170,low,medium,low,15.4,40.4,31.2,30.2,14.8
241,high,high,low,43.9,69.0,48.4,49.5,34.6
359,low,low,medium,48.1,50.8,34.8,31.5,38.0
691,low,medium,high,77.9,71.6,43.8,36.5,64.8
488,medium,low,medium,78.6,75.2,50.1,46.8,59.3
603,high,low,low,100.0,100.0,74.4,71.2,79.4
439,high,high,medium,67.7,80.4,52.6,51.3,53.6
95,high,low,high,46.4,28.3,12.8,15.7,30.6
392,low,medium,medium,42.0,54.3,37.2,33.5,36.1
350,medium,medium,low,52.0,70.3,50.2,48.5,41.1
567,low,low,low,73.0,83.2,59.8,54.0,57.9
63,medium,low,high,27.6,14.3,4.5,6.3,18.5
413,medium,medium,medium,59.6,67.1,44.7,42.3,47.1
108,medium,high,high,13.0,19.2,7.8,9.0,12.9
363,high,high,low,58.6,82.2,57.1,56.8,46.3
125,low,medium,high,10.0,10.5,3.0,2.5,10.5
658,medium,high,high,79.0,78.6,47.4,42.0,65.7
279,medium,high,high,33.5,37.6,20.1,19.2,29.3
401,medium,medium,high,58.1,50.8,28.9,26.6,46.0
30,high,medium,low,28.6,46.2,33.2,36.8,19.4
703,high,high,medium,99.4,100.0,71.6,67.2,79.0
233,medium,low,high,48.0,32.7,16.8,16.5,34.9
204,medium,medium,medium,34.5,44.5,29.7,29.7,27.1
561,medium,high,low,67.3,93.1,65.4,61.2,56.4
594,high,high,high,86.3,82.2,48.8,45.6,68.5
215,low,high,medium,10.8,35.2,24.5,22.9,14.1
116,high,medium,medium,38.9,45.5,29.4,32.0,27.6
235,low,medium,high,23.2,22.4,10.9,9.1,21.1
634,medium,low,low,96.1,100.0,70.6,65.5,73.4
220,high,high,high,41.4,41.8,21.8,23.2,32.6
115,medium,high,medium,13.8,34.9,23.3,24.4,13.5
663,low,medium,high,74.6,68.6,41.7,34.8,62.1
370,high,high,high,59.4,58.0,32.6,32.2,47.0
415,low,high,high,34.8,41.8,23.9,19.9,33.3
242,low,medium,high,24.0,23.1,11.4,9.5,21.7
349,high,low,low,76.9,80.7,56.1,55.9,55.0
313,medium,medium,medium,47.6,56.3,37.5,36.3,37.5
660,high,medium,low,100.0,100.0,78.5,74.6,79.9
612,low,high,low,58.4,88.1,63.1,56.7,52.3
466,low,medium,high,50.9,47.3,27.6,23.0,43.2
186,high,low,low,57.3,63.1,44.4,46.2,39.4
38,low,high,high,0.0,1.1,0.0,0.0,0.0
317,high,high,low,53.0,77.2,53.8,54.0,41.9
280,high,medium,medium,58.6,63.2,41.2,41.8,43.4
266,high,medium,medium,56.9,61.7,40.2,41.0,42.0
138,medium,medium,high,26.6,22.4,9.9,10.8,20.7
490,low,high,low,43.8,74.9,54.3,49.4,40.5
327,high,low,high,74.2,53.3,29.5,29.6,52.9
561,high,medium,medium,92.3,93.6,61.4,58.7,70.4
195,high,high,high,38.4,39.1,20.0,21.7,30.2
44,medium,high,high,5.3,12.3,3.2,5.1,6.7
379,high,low,high,80.5,58.9,33.3,32.7,57.9
506,high,high,low,75.7,97.6,67.4,65.4,60.1
632,high,high,high,90.8,86.3,51.5,47.9,72.2
433,high,low,medium,87.0,79.8,52.2,51.0,63.1
234,high,high,high,43.1,43.3,22.8,24.0,34.0
672,high,low,medium,100.0,100.0,69.4,65.3,86.0
578,low,low,high,74.4,59.4,35.6,29.7,59.0
654,medium,medium,high,88.5,78.1,47.1,41.7,70.3
373,high,medium,low,69.8,83.3,57.9,57.4,52.3
37,high,low,medium,39.4,37.0,23.7,27.2,25.1
218,medium,medium,high,36.2,31.0,15.7,15.6,28.4
573,low,high,high,53.8,58.9,35.3,29.4,48.5
50,high,high,high,21.0,23.4,9.6,13.0,16.3
709,low,high,low,70.1,98.6,70.0,62.5,61.6
32,medium,high,medium,3.8,26.0,17.3,19.4,5.6
100,high,low,low,47.0,53.8,38.2,41.0,31.1
80,medium,high,medium,9.6,31.1,20.8,22.3,10.2
310,low,medium,low,32.2,55.5,41.3,38.6,28.3
562,low,high,medium,52.4,72.7,49.5,43.7,47.5
